iter	Passed	Remaining
0	145	145731
1	146	73318
2	147	49098
3	148	36957
4	149	29705
5	150	24893
6	151	21471
7	152	18881
8	153	16912
9	154	15283
10	155	13952
11	155	12836
12	156	11895
13	158	11140
14	159	10441
15	159	9825
16	160	9281
17	161	8797
18	161	8361
19	162	7972
20	163	7627
21	164	7311
22	165	7045
23	166	6780
24	167	6544
25	168	6317
26	170	6129
27	171	5958
28	172	5780
29	173	5609
30	174	5454
31	175	5303
32	176	5166
33	177	5033
34	177	4905
35	178	4780
36	179	4664
37	179	4556
38	180	4455
39	181	4367
40	182	4271
41	183	4183
42	184	4098
43	184	4017
44	185	3937
45	186	3864
46	187	3794
47	188	3748
48	189	3683
49	190	3621
50	191	3565
51	192	3513
52	193	3464
53	194	3411
54	196	3377
55	197	3327
56	198	3277
57	198	3230
58	199	3189
59	200	3145
60	201	3100
61	202	3059
62	202	3018
63	203	2978
64	204	2940
65	205	2902
66	205	2865
67	206	2835
68	207	2802
69	208	2770
70	209	2738
71	210	2707
72	210	2676
73	211	2646
74	212	2616
75	213	2595
76	214	2569
77	215	2542
78	215	2516
79	216	2493
80	217	2473
81	219	2453
82	219	2425
83	220	2407
84	221	2388
85	222	2366
86	223	2344
87	224	2323
88	225	2305
89	225	2285
90	226	2264
91	227	2245
92	228	2225
93	228	2205
94	229	2186
95	230	2168
96	231	2152
97	231	2135
98	232	2117
99	233	2100
100	234	2083
101	234	2066
102	235	2050
103	236	2034
104	236	2018
105	237	2005
106	238	1990
107	239	1975
108	239	1961
109	241	1953
110	242	1939
111	242	1925
112	243	1914
113	244	1902
114	245	1890
115	246	1877
116	246	1863
117	247	1850
118	248	1838
119	249	1826
120	250	1818
121	250	1805
122	251	1795
123	252	1784
124	253	1772
125	253	1760
126	254	1748
127	255	1737
128	256	1731
129	257	1721
130	257	1711
131	258	1701
132	259	1690
133	260	1680
134	260	1670
135	261	1660
136	262	1655
137	263	1645
138	264	1636
139	264	1626
140	265	1617
141	265	1606
142	266	1597
143	267	1588
144	267	1579
145	269	1574
146	269	1566
147	270	1558
148	271	1551
149	272	1545
150	273	1538
151	274	1529
152	275	1526
153	276	1519
154	278	1515
155	278	1508
156	279	1500
157	280	1493
158	281	1487
159	282	1483
160	283	1475
161	283	1468
162	284	1461
163	285	1454
164	286	1447
165	286	1440
166	287	1434
167	288	1427
168	288	1420
169	289	1413
170	290	1406
171	290	1400
172	291	1393
173	292	1387
174	293	1382
175	293	1375
176	294	1369
177	295	1363
178	295	1356
179	296	1350
180	297	1345
181	297	1338
182	298	1332
183	299	1327
184	300	1322
185	300	1316
186	301	1310
187	302	1305
188	302	1299
189	303	1294
190	304	1288
191	304	1283
192	305	1278
193	306	1273
194	307	1268
195	307	1263
196	308	1258
197	309	1252
198	309	1247
199	310	1242
200	311	1237
201	312	1233
202	313	1229
203	314	1225
204	314	1220
205	315	1215
206	316	1210
207	316	1206
208	317	1201
209	318	1198
210	319	1193
211	319	1189
212	320	1184
213	321	1180
214	321	1175
215	322	1171
216	323	1166
217	323	1162
218	325	1159
219	325	1154
220	326	1150
221	327	1146
222	327	1141
223	328	1137
224	329	1133
225	329	1129
226	330	1126
227	331	1122
228	332	1118
229	332	1114
230	333	1110
231	334	1106
232	334	1102
233	335	1098
234	336	1094
235	337	1093
236	338	1090
237	339	1086
238	340	1082
239	340	1078
240	341	1074
241	342	1071
242	342	1067
243	343	1065
244	344	1061
245	345	1058
246	345	1054
247	346	1050
248	347	1047
249	348	1045
250	349	1043
251	350	1040
252	351	1036
253	351	1033
254	352	1030
255	353	1027
256	354	1025
257	355	1022
258	356	1019
259	356	1015
260	357	1013
261	358	1009
262	359	1006
263	359	1003
264	360	1000
265	362	999
266	363	996
267	363	993
268	364	990
269	365	987
270	365	984
271	366	981
272	367	977
273	368	975
274	369	973
275	370	971
276	370	968
277	371	965
278	372	962
279	372	958
280	373	956
281	374	954
282	375	951
283	376	948
284	376	945
285	377	942
286	378	939
287	378	936
288	379	933
289	380	932
290	381	929
291	382	926
292	382	924
293	383	921
294	384	918
295	385	915
296	385	913
297	386	911
298	387	908
299	388	906
300	389	903
301	389	900
302	390	898
303	391	895
304	391	892
305	392	890
306	393	888
307	394	886
308	395	883
309	395	881
310	396	878
311	397	875
312	397	873
313	398	870
314	399	869
315	401	868
316	401	866
317	402	863
318	403	861
319	404	858
320	404	856
321	405	854
322	406	851
323	407	850
324	408	847
325	408	845
326	409	842
327	410	840
328	410	837
329	411	835
330	412	834
331	413	831
332	414	829
333	414	827
334	415	824
335	416	822
336	416	820
337	417	818
338	418	816
339	419	814
340	420	812
341	421	810
342	421	807
343	422	805
344	423	803
345	423	801
346	424	799
347	425	797
348	426	795
349	427	793
350	427	791
351	428	788
352	429	786
353	429	784
354	430	782
355	431	781
356	432	779
357	433	777
358	434	775
359	434	772
360	435	770
361	436	769
362	437	767
363	438	766
364	439	764
365	439	761
366	440	759
367	441	757
368	441	755
369	442	754
370	443	752
371	444	750
372	445	748
373	445	746
374	446	744
375	447	742
376	448	740
377	449	740
378	451	739
379	452	737
380	453	736
381	453	734
382	455	733
383	456	732
384	458	731
385	459	730
386	459	728
387	460	726
388	462	726
389	464	725
390	464	724
391	465	722
392	466	720
393	467	719
394	468	717
395	470	717
396	470	715
397	471	713
398	472	711
399	473	710
400	474	709
401	475	707
402	476	706
403	477	704
404	478	702
405	479	700
406	480	700
407	481	698
408	482	697
409	483	695
410	484	694
411	485	693
412	487	692
413	489	692
414	489	690
415	490	688
416	491	687
417	493	686
418	495	686
419	495	684
420	496	682
421	497	681
422	499	680
423	499	679
424	500	677
425	501	676
426	502	674
427	503	672
428	505	672
429	505	670
430	507	669
431	508	668
432	509	666
433	511	667
434	513	667
435	515	666
436	515	664
437	517	664
438	519	663
439	520	662
440	521	660
441	522	659
442	524	659
443	525	658
444	526	656
445	527	654
446	528	653
447	529	652
448	530	650
449	531	649
450	532	648
451	533	646
452	533	644
453	534	643
454	536	642
455	538	642
456	539	640
457	540	639
458	542	639
459	544	638
460	544	637
461	545	635
462	546	633
463	548	633
464	548	631
465	550	630
466	551	629
467	551	627
468	552	625
469	554	625
470	555	623
471	556	623
472	557	621
473	558	619
474	559	618
475	560	617
476	561	615
477	562	614
478	563	612
479	564	611
480	565	609
481	566	608
482	568	608
483	568	606
484	569	604
485	570	603
486	570	601
487	571	599
488	573	598
489	574	597
490	574	595
491	575	594
492	576	592
493	577	591
494	578	589
495	579	589
496	581	588
497	582	587
498	583	585
499	584	584
500	585	583
501	587	582
502	587	580
503	588	579
504	590	578
505	591	577
506	591	575
507	593	574
508	594	573
509	595	571
510	596	570
511	597	569
512	598	567
513	599	566
514	600	565
515	600	563
516	601	561
517	602	560
518	602	558
519	604	557
520	605	556
521	605	554
522	606	553
523	607	552
524	609	551
525	610	549
526	611	548
527	612	547
528	613	545
529	614	544
530	616	544
531	618	543
532	619	542
533	619	541
534	620	539
535	622	538
536	623	537
537	625	537
538	626	535
539	627	534
540	629	533
541	630	532
542	631	531
543	632	529
544	633	528
545	635	528
546	635	526
547	637	525
548	638	524
549	639	523
550	641	522
551	642	521
552	643	519
553	643	518
554	644	517
555	646	516
556	647	515
557	649	514
558	650	513
559	651	511
560	653	511
561	653	509
562	655	508
563	656	507
564	656	505
565	657	504
566	659	503
567	660	502
568	662	501
569	662	500
570	663	498
571	665	497
572	666	496
573	667	495
574	668	494
575	669	492
576	670	491
577	671	490
578	672	488
579	673	487
580	674	486
581	675	485
582	676	484
583	677	482
584	678	481
585	679	480
586	680	478
587	681	477
588	682	476
589	683	475
590	685	474
591	685	472
592	686	471
593	687	470
594	688	468
595	689	467
596	691	466
597	692	465
598	692	463
599	693	462
600	695	461
601	695	460
602	698	459
603	698	458
604	699	456
605	701	455
606	702	454
607	703	453
608	704	452
609	705	450
610	706	449
611	707	448
612	708	447
613	710	446
614	710	445
615	711	443
616	712	442
617	714	441
618	715	440
619	716	439
620	717	437
621	718	436
622	720	435
623	720	434
624	722	433
625	723	432
626	726	431
627	727	430
628	728	429
629	729	428
630	729	426
631	730	425
632	732	424
633	733	423
634	735	422
635	736	421
636	736	419
637	738	419
638	739	417
639	740	416
640	741	415
641	742	413
642	742	412
643	743	411
644	744	409
645	746	408
646	747	407
647	747	406
648	748	404
649	749	403
650	750	402
651	751	401
652	753	400
653	753	398
654	755	397
655	756	396
656	757	395
657	758	394
658	759	393
659	760	391
660	761	390
661	762	389
662	762	387
663	763	386
664	764	385
665	765	383
666	766	382
667	767	381
668	768	380
669	768	378
670	770	377
671	771	376
672	771	375
673	772	373
674	773	372
675	774	371
676	775	369
677	775	368
678	776	367
679	777	365
680	778	364
681	779	363
682	779	361
683	781	360
684	781	359
685	783	358
686	783	357
687	784	355
688	785	354
689	785	352
690	786	351
691	787	350
692	788	349
693	789	348
694	790	346
695	791	345
696	792	344
697	793	343
698	794	341
699	795	340
700	796	339
701	796	338
702	797	336
703	798	335
704	799	334
705	800	333
706	800	331
707	801	330
708	802	329
709	803	328
710	804	326
711	805	325
712	805	324
713	806	323
714	807	321
715	808	320
716	809	319
717	809	318
718	810	316
719	811	315
720	812	314
721	813	313
722	814	311
723	814	310
724	815	309
725	816	308
726	816	306
727	819	306
728	820	304
729	821	303
730	822	302
731	824	301
732	825	300
733	826	299
734	827	298
735	828	297
736	829	295
737	829	294
738	830	293
739	831	292
740	832	290
741	833	289
742	833	288
743	834	287
744	835	285
745	836	284
746	837	283
747	837	282
748	838	280
749	839	279
750	839	278
751	840	277
752	841	275
753	841	274
754	843	273
755	844	272
756	845	271
757	846	270
758	847	268
759	848	267
760	849	266
761	851	265
762	852	264
763	852	263
764	853	262
765	854	260
766	856	260
767	856	258
768	857	257
769	858	256
770	858	255
771	859	253
772	859	252
773	860	251
774	861	250
775	862	248
776	862	247
777	863	246
778	863	245
779	864	243
780	864	242
781	865	241
782	866	240
783	866	238
784	867	237
785	869	236
786	869	235
787	870	234
788	871	232
789	871	231
790	872	230
791	873	229
792	874	228
793	875	227
794	875	225
795	876	224
796	877	223
797	878	222
798	880	221
799	881	220
800	883	219
801	884	218
802	884	217
803	885	215
804	886	214
805	887	213
806	887	212
807	888	211
808	889	209
809	889	208
810	890	207
811	891	206
812	892	205
813	894	204
814	894	203
815	895	201
816	896	200
817	896	199
818	897	198
819	898	197
820	898	195
821	900	194
822	900	193
823	901	192
824	902	191
825	902	190
826	903	189
827	904	187
828	905	186
829	906	185
830	907	184
831	907	183
832	908	182
833	909	180
834	909	179
835	910	178
836	911	177
837	912	176
838	913	175
839	914	174
840	915	172
841	915	171
842	916	170
843	916	169
844	918	168
845	919	167
846	920	166
847	920	165
848	921	163
849	922	162
850	922	161
851	923	160
852	924	159
853	925	158
854	926	157
855	926	155
856	927	154
857	928	153
858	928	152
859	930	151
860	932	150
861	932	149
862	933	148
863	934	147
864	934	145
865	936	144
866	937	143
867	938	142
868	939	141
869	940	140
870	941	139
871	942	138
872	943	137
873	944	136
874	945	135
875	945	133
876	946	132
877	947	131
878	948	130
879	950	129
880	950	128
881	951	127
882	952	126
883	952	125
884	953	123
885	954	122
886	956	121
887	957	120
888	957	119
889	958	118
890	959	117
891	959	116
892	961	115
893	961	114
894	962	112
895	963	111
896	964	110
897	964	109
898	965	108
899	965	107
900	967	106
901	968	105
902	969	104
903	970	103
904	970	101
905	971	100
906	972	99
907	973	98
908	974	97
909	975	96
910	975	95
911	976	94
912	977	93
913	977	92
914	978	90
915	980	89
916	981	88
917	981	87
918	982	86
919	983	85
920	983	84
921	984	83
922	985	82
923	986	81
924	987	80
925	988	79
926	989	77
927	990	76
928	990	75
929	992	74
930	993	73
931	994	72
932	995	71
933	995	70
934	996	69
935	998	68
936	999	67
937	1000	66
938	1001	65
939	1002	63
940	1004	62
941	1006	61
942	1007	60
943	1007	59
944	1008	58
945	1010	57
946	1012	56
947	1013	55
948	1014	54
949	1014	53
950	1017	52
951	1019	51
952	1020	50
953	1022	49
954	1024	48
955	1025	47
956	1026	46
957	1027	45
958	1028	43
959	1031	42
960	1031	41
961	1032	40
962	1035	39
963	1037	38
964	1038	37
965	1039	36
966	1042	35
967	1043	34
968	1044	33
969	1045	32
970	1046	31
971	1049	30
972	1050	29
973	1051	28
974	1052	26
975	1055	25
976	1056	24
977	1056	23
978	1057	22
979	1060	21
980	1061	20
981	1062	19
982	1063	18
983	1063	17
984	1067	16
985	1069	15
986	1069	14
987	1070	13
988	1075	11
989	1076	10
990	1077	9
991	1080	8
992	1082	7
993	1082	6
994	1083	5
995	1085	4
996	1087	3
997	1088	2
998	1089	1
999	1091	0
